"","journal","oldtier","ERS","repec_impact","repec_h","sjr","sh","tr_impact","tr_ef","econ_flag","pc_score","PC_tier","nonecon_tier","econ_tier"
"22102","economia mexicana, nueva epoca",NA,0,NA,NA,0.135,3,NA,NA,1,-1.86646366443429,NA,"Tier III","Tier III"
"22103","international journal of francophone studies",NA,0,NA,NA,0.135,2,NA,NA,NA,-2.24694313495739,NA,"Tier III","Tier III"
"22104","2013 8th international icst conference on communications and networking in china, chinacom 2013  proceedings",NA,0,NA,NA,0.135,4,NA,NA,NA,-2.13195104937962,NA,"Tier III","Tier III"
"22105","life writing",NA,0,NA,NA,0.135,5,NA,NA,NA,-1.98267578051121,NA,"Tier III","Tier III"
"22106","proceedings of the 2013 international conference on advanced electronic systems, icaes 2013",NA,0,NA,NA,0.135,5,NA,NA,NA,-1.79271264681406,NA,"Tier III","Tier III"
"22107","tyche",NA,0,NA,NA,0.135,2,NA,NA,NA,-2.24694313495739,NA,"Tier III","Tier III"
"22108","international finance review",NA,0,NA,NA,0.135,6,NA,NA,1,-2.00564345797582,NA,"Tier III","Tier III"
"22109","i4ct 2014  1st international conference on computer, communications, and control technology, proceedings",NA,0,NA,NA,0.135,5,NA,NA,NA,-1.68298813767969,NA,"Tier III","Tier III"
"22110","quality progress",NA,0,NA,NA,0.135,28,NA,NA,NA,-0.716918770854688,NA,"Tier III","Tier III"
"22111","2014 international conference on electronics packaging, icep 2014",NA,0,NA,NA,0.135,4,NA,NA,NA,-2.13195104937962,NA,"Tier III","Tier III"
"22112","annales de la fondation louis de broglie",NA,0,NA,NA,0.135,12,NA,NA,NA,-1.94496422634524,NA,"Tier III","Tier III"
"22113","2014 world congress on computer applications and information systems, wccais 2014",NA,0,NA,NA,0.135,4,NA,NA,NA,-1.78984141366464,NA,"Tier III","Tier III"
"22114","journal of international women's studies",NA,0,NA,NA,0.135,13,NA,NA,NA,-1.90037211469942,NA,"Tier III","Tier III"
"22115","world environmental and water resources congress 2014: water without borders  proceedings of the 2014 world environmental and water resources congress",NA,0,NA,NA,0.135,4,NA,NA,NA,-2.13195104937962,NA,"Tier III","Tier III"
"22116","masaryk university journal of law and technology",NA,0,NA,NA,0.135,1,NA,NA,NA,-2.55269985583816,NA,"Tier III","Tier III"
"22117","revista portuguesa de cirurgia cardiotoracica e vascular : orgao oficial da sociedade portuguesa de cirurgia cardiotoracica e vascular",NA,0,NA,NA,0.135,4,NA,NA,NA,-2.13195104937962,NA,"Tier III","Tier III"
"22118","proceedings of the 2014 international conference on innovative design and manufacturing, icidm 2014",NA,0,NA,NA,0.135,3,NA,NA,NA,-2.19330110164929,NA,"Tier III","Tier III"
"22119","proceedings of the 36th conference of the australian society of sugar cane technologists, assct 2014",NA,0,NA,NA,0.135,3,NA,NA,NA,-2.19330110164929,NA,"Tier III","Tier III"
"22120","journal of neurological sciences",NA,0,NA,NA,0.135,6,NA,NA,NA,-2.00564345797582,NA,"Tier III","Tier III"
"22121","existentia",NA,0,NA,NA,0.135,2,NA,NA,NA,-1.5339130218561,NA,"Tier III","Tier III"
"22122","asian women",NA,0,NA,NA,0.135,4,0.133,5e-05,NA,-1.37554374155543,NA,"Tier III","Tier III"
"22123","journal of the asean federation of endocrine societies",NA,0,NA,NA,0.135,1,NA,NA,NA,-2.55269985583816,NA,"Tier III","Tier III"
"22124","zhiwu shengli xuebao/plant physiology journal",NA,0,NA,NA,0.135,6,NA,NA,NA,-2.00564345797582,NA,"Tier III","Tier III"
"22125","intelligent systems reference library",NA,0,NA,NA,0.135,10,NA,NA,NA,-1.98501028176026,NA,"Tier III","Tier III"
"22126","2013 ieee/sice international symposium on system integration, sii 2013",NA,0,NA,NA,0.135,5,NA,NA,NA,-1.98267578051121,NA,"Tier III","Tier III"
"22127","modern italy",NA,0,NA,NA,0.135,6,NA,NA,NA,-2.00564345797582,NA,"Tier III","Tier III"
"22128","zeitschrift für epileptologie",NA,0,NA,NA,0.135,5,NA,NA,NA,-1.66515189770468,NA,"Tier III","Tier III"
"22129","green streets, highways, and development 2013: advancing the practice  proceedings of the 2nd green streets, highways, and development conference",NA,0,NA,NA,0.135,2,NA,NA,NA,-2.24694313495739,NA,"Tier III","Tier III"
"22130","psychooncologie",NA,0,NA,NA,0.135,7,0.141,7e-05,NA,-0.87884676950016,NA,"Tier III","Tier III"
"22131","english literary renaissance",NA,0,NA,NA,0.135,14,NA,NA,NA,-1.84884192546165,NA,"Tier III","Tier III"
"22132","2014 31th ursi general assembly and scientific symposium, ursi gass 2014",NA,0,NA,NA,0.135,6,NA,NA,NA,-2.00564345797582,NA,"Tier III","Tier III"
"22133","2014 world congress on internet security, worldcis 2014",NA,0,NA,NA,0.135,2,NA,NA,NA,-2.24694313495739,NA,"Tier III","Tier III"
"22134","unisci discussion papers",NA,0,NA,NA,0.135,2,NA,NA,NA,-1.92473923321905,NA,"Tier III","Tier III"
"22135","sel  studies in english literature",NA,0,NA,NA,0.135,11,NA,NA,NA,-1.63475726655221,NA,"Tier III","Tier III"
"22136","revista materia",NA,0,NA,NA,0.135,8,NA,NA,NA,-1.6192007005425,NA,"Tier III","Tier III"
"22137","augustinian studies",NA,0,NA,NA,0.135,10,NA,NA,NA,-1.98501028176026,NA,"Tier III","Tier III"
"22138","proceedings of 2013 8th international conference on system of systems engineering: sose in cloud computing and emerging information technology applications, sose 2013",NA,0,NA,NA,0.135,4,NA,NA,NA,-1.80005408745727,NA,"Tier III","Tier III"
"22139","basic and applied herpetology",NA,0,NA,NA,0.135,3,NA,NA,NA,-2.19330110164929,NA,"Tier III","Tier III"
"22140","nanotechnology law and business",NA,0,NA,NA,0.135,11,NA,NA,NA,-1.97618159936688,NA,"Tier III","Tier III"
"22141","life science journal",NA,0,NA,NA,0.135,17,NA,NA,NA,-1.71749947013265,NA,"Tier III","Tier III"
"22142","ceska a slovenska neurologie a neurochirurgie",NA,0,NA,NA,0.135,11,0.368,0.00019,NA,0.0829932330685284,NA,"Tier III","Tier III"
"22143","proceedings of the 4th asiapacific conference on frp in structures, apfis 2013",NA,0,NA,NA,0.135,2,NA,NA,NA,-1.92906167583541,NA,"Tier III","Tier III"
"22144","sociology of crime, law, and deviance",NA,0,NA,NA,0.135,5,NA,NA,NA,-1.66515189770468,NA,"Tier III","Tier III"
"22145","frascati physics series",NA,0,NA,NA,0.135,3,NA,NA,NA,-2.19330110164929,NA,"Tier III","Tier III"
"22146","drug discovery world",NA,0,NA,NA,0.135,10,NA,NA,NA,-1.98501028176026,NA,"Tier III","Tier III"
"22147","boletin de geologia",NA,0,NA,NA,0.135,2,NA,NA,NA,-1.861978164882,NA,"Tier III","Tier III"
"22148","ceska a slovenska farmacie",NA,0,NA,NA,0.135,14,NA,NA,NA,-1.50385096949852,NA,"Tier III","Tier III"
"22149","analele banatului: arheologie  istorie",NA,0,NA,NA,0.135,3,NA,NA,NA,-1.86646366443429,NA,"Tier III","Tier III"
"22150","journal africain d'hepatogastroenterologie",NA,0,NA,NA,0.135,4,NA,NA,NA,-2.13195104937962,NA,"Tier III","Tier III"
"22151","international journal of pharmacy and technology",NA,0,NA,NA,0.135,9,NA,NA,NA,-2.02075063612236,NA,"Tier III","Tier III"
"22152","proceedings  2013 ieee international multi conference on automation, computing, control, communication and compressed sensing, imac4s 2013",NA,0,NA,NA,0.135,8,NA,NA,NA,-2.00029762981712,NA,"Tier III","Tier III"
"22153","research in public policy analysis and management",NA,0,NA,NA,0.135,4,NA,NA,NA,-2.13195104937962,NA,"Tier III","Tier III"
"22154","international journal of earth sciences and engineering",NA,0,NA,NA,0.135,9,NA,NA,NA,-1.9927562048945,NA,"Tier III","Tier III"
"22155","advanced science letters",NA,0,NA,NA,0.135,21,NA,NA,NA,-1.57680478891271,NA,"Tier III","Tier III"
"22156","sound and vibration",NA,0,NA,NA,0.135,25,0.109,0.00012,NA,-0.361406262178944,NA,"Tier III","Tier III"
"22157","dbtest 2013  proceedings of the 6th international workshop on testing database systems, colocated with acm sigmod 2013",NA,0,NA,NA,0.135,3,NA,NA,NA,-2.19330110164929,NA,"Tier III","Tier III"
"22158","final program and proceedings  is and t/sid color imaging conference",NA,0,NA,NA,0.135,37,NA,NA,NA,0.30400098748416,NA,"Tier III","Tier III"
"22159","journal of rubber research",NA,0,NA,NA,0.135,8,0.237,7e-05,NA,-0.541126914716535,NA,"Tier III","Tier III"
"22160","international journal of advanced mechatronic systems",NA,0,NA,NA,0.135,9,NA,NA,NA,-2.02075168394813,NA,"Tier III","Tier III"
"22161","terapevticheskii arkhiv",NA,0,NA,NA,0.135,11,0.177,0.00036,NA,0.00308829160224694,NA,"Tier III","Tier III"
"22162","chinese control conference, ccc",NA,0,NA,NA,0.135,10,NA,NA,NA,-1.98501028176026,NA,"Tier III","Tier III"
"22163","journal of pure and applied microbiology",NA,0,NA,NA,0.135,9,NA,NA,NA,-2.02075168394813,NA,"Tier III","Tier III"
"22164","logique et analyse",NA,0,NA,NA,0.134,10,NA,NA,NA,-2.0080456894411,NA,"Tier III","Tier III"
"22165","online journal of analytic combinatorics",NA,0,NA,NA,0.134,2,NA,NA,NA,-2.25394617443911,NA,"Tier III","Tier III"
"22166","annual conference of the australasian corrosion association 2013: corrosion and prevention 2013",NA,0,NA,NA,0.134,2,NA,NA,NA,-2.25394617443911,NA,"Tier III","Tier III"
"22167","revue de qumran",NA,0,NA,NA,0.134,10,NA,NA,NA,-1.66781841713712,NA,"Tier III","Tier III"
"22168","melbourne university law review",NA,0,NA,NA,0.134,8,0.689,0.00017,NA,0.147548922509204,NA,"Tier III","Tier III"
"22169","journal of chinese cinemas",NA,0,NA,NA,0.134,3,NA,NA,NA,-2.18076398222572,NA,"Tier III","Tier III"
"22170","papers presented at the annual conference  rural electric power conference",NA,0,NA,NA,0.134,7,NA,NA,NA,-2.14213299869918,NA,"Tier III","Tier III"
"22171","giornale italiano di medicina del lavoro ed ergonomia",NA,0,NA,NA,0.134,17,NA,NA,NA,-1.30428485790818,NA,"Tier III","Tier III"
"22172","teorema",NA,0,NA,NA,0.134,4,NA,NA,NA,-2.13055900424787,NA,"Tier III","Tier III"
"22173","journal of entomological research",NA,0,NA,NA,0.134,3,NA,NA,NA,-2.18076398222572,NA,"Tier III","Tier III"
"22174","journal of textile and apparel, technology and management",NA,0,NA,NA,0.134,16,NA,NA,NA,-1.77440418755538,NA,"Tier III","Tier III"
"22175","journal of international and global studies",NA,0,NA,NA,0.134,1,NA,NA,NA,-2.56198088654138,NA,"Tier III","Tier III"
"22176","longitudinal surveys of australian youth  research reports",NA,0,NA,NA,0.134,1,NA,NA,NA,-2.56198088654138,NA,"Tier III","Tier III"
"22177","42nd international congress and exposition on noise control engineering 2013, internoise 2013: noise control for quality of life",NA,0,NA,NA,0.134,6,NA,NA,NA,-2.01074676828492,NA,"Tier III","Tier III"
"22178","systematic reviews in pharmacy",NA,0,NA,NA,0.134,8,NA,NA,NA,-2.02960344122661,NA,"Tier III","Tier III"
"22179","thai journal of pharmaceutical sciences",NA,0,NA,NA,0.134,9,NA,NA,NA,-2.04185261443302,NA,"Tier III","Tier III"
"22180","13th international conference on hybrid intelligent systems, his 2013",NA,0,NA,NA,0.134,4,NA,NA,NA,-2.13055900424787,NA,"Tier III","Tier III"
"22181","from materials to structures: advancement through innovation  proceedings of the 22nd australasian conference on the mechanics of structures and materials, acmsm 2012",NA,0,NA,NA,0.134,3,NA,NA,NA,-2.18076398222572,NA,"Tier III","Tier III"
"22182","studies in managerial and financial accounting",NA,0,NA,NA,0.134,5,NA,NA,NA,-1.98581522197666,NA,"Tier III","Tier III"
"22183","metal powder report",NA,0,NA,NA,0.134,14,NA,NA,NA,-1.86046078142175,NA,"Tier III","Tier III"
"22184","biocell",NA,0,NA,NA,0.134,23,0.259,0.00016,NA,0.0469595560913056,NA,"Tier III","Tier III"
"22185","asian internet engineeering conference, aintec 2013",NA,0,NA,NA,0.134,2,NA,NA,NA,-1.86315181726309,NA,"Tier III","Tier III"
"22186","dixneuf",NA,0,NA,NA,0.134,3,NA,NA,NA,-1.7925256829771,NA,"Tier III","Tier III"
"22187","2013 ieee 25th symposium on fusion engineering, sofe 2013",NA,0,NA,NA,0.134,2,NA,NA,NA,-1.92641116790363,NA,"Tier III","Tier III"
"22188","its 2014  proceedings of the 2014 acm international conference on interactive tabletops and surfaces",NA,0,NA,NA,0.134,6,NA,NA,NA,-1.67249048479522,NA,"Tier III","Tier III"
"22189","journal of conflict archaeology",NA,0,NA,NA,0.134,7,NA,NA,NA,-2.14213299869918,NA,"Tier III","Tier III"
"22190","revista latinoamericana de investigacion en matematica educativa",NA,0,NA,NA,0.134,5,NA,NA,NA,-1.98581522197666,NA,"Tier III","Tier III"
"22191","callej",NA,0,NA,NA,0.134,2,NA,NA,NA,-1.92641116790363,NA,"Tier III","Tier III"
"22192","advanced series in management",NA,0,NA,NA,0.134,4,NA,NA,NA,-2.13055900424787,NA,"Tier III","Tier III"
"22193","polski merkuriusz lekarski",NA,0,NA,NA,0.134,16,NA,NA,NA,-1.77440418755538,NA,"Tier III","Tier III"
"22194","2014 18th international conference on system theory, control and computing, icstcc 2014",NA,0,NA,NA,0.134,4,NA,NA,NA,-1.79656110051292,NA,"Tier III","Tier III"
"22195","turk oftalmoloji gazetesi",NA,0,NA,NA,0.134,3,NA,NA,NA,-2.18076398222572,NA,"Tier III","Tier III"
"22196","bioimaging 2015  2nd international conference on bioimaging, proceedings; part of 8th international joint conference on biomedical engineering systems and technologies, biostec 2015",NA,0,NA,NA,0.134,2,NA,NA,NA,-1.93030423065417,NA,"Tier III","Tier III"
"22197","mathematical reports",NA,0,NA,NA,0.134,4,0.246,3e-04,NA,-0.240813794888071,NA,"Tier III","Tier III"
"22198","ayer",NA,0,NA,NA,0.134,3,0.207,0.00058,NA,-0.213894474537668,NA,"Tier III","Tier III"
"22199","biomedical and pharmacology journal",NA,0,NA,NA,0.134,7,NA,NA,NA,-2.14213299869918,NA,"Tier III","Tier III"
"22200","medecine buccale chirurgie buccale",NA,0,NA,NA,0.134,3,NA,NA,NA,-2.18076398222572,NA,"Tier III","Tier III"
"22201","conference record  industrial and commercial power systems technical conference",NA,0,NA,NA,0.134,9,NA,NA,NA,-2.04185261443302,NA,"Tier III","Tier III"
"22202","proceedings of the electronic packaging technology conference, eptc",NA,0,NA,NA,0.134,3,NA,NA,NA,-2.18076398222572,NA,"Tier III","Tier III"
"22203","indian journal of fisheries",NA,0,NA,NA,0.134,6,0.235,0.00051,NA,-0.016441590554351,NA,"Tier III","Tier III"
"22204","nippon hoshasen gijutsu gakkai zasshi",NA,0,NA,NA,0.134,11,NA,NA,NA,-1.9842759165202,NA,"Tier III","Tier III"
"22206","biomedical engineering",NA,0,NA,NA,0.134,8,NA,NA,NA,-1.64985045245932,NA,"Tier III","Tier III"
"22207","webmedia 2013  proceedings of the 19th brazilian symposium on multimedia and the web",NA,0,NA,NA,0.134,4,NA,NA,NA,-1.79656110051292,NA,"Tier III","Tier III"
"22208","journal of big data",NA,0,NA,NA,0.134,5,NA,NA,NA,-1.67222980675651,NA,"Tier III","Tier III"
"22209","global journal althaqafah",NA,0,NA,NA,0.134,3,NA,NA,NA,-2.18076398222572,NA,"Tier III","Tier III"
"22210","7th international conference on intelligent systems and control, isco 2013",NA,0,NA,NA,0.134,5,NA,NA,NA,-1.98581522197666,NA,"Tier III","Tier III"
"22211","journal of small business strategy",NA,0,NA,NA,0.134,2,NA,NA,NA,-2.25394617443911,NA,"Tier III","Tier III"
"22212","frontiers of history in china",NA,0,NA,NA,0.134,3,NA,NA,NA,-2.18076398222572,NA,"Tier III","Tier III"
"22213","revue d'ecologie (la terre et la vie)",NA,0,NA,NA,0.134,22,NA,NA,NA,-1.26208992926057,NA,"Tier III","Tier III"
"22214","proceedings  4th international conference on emerging applications of information technology, eait 2014",NA,0,NA,NA,0.134,3,NA,NA,NA,-2.18076398222572,NA,"Tier III","Tier III"
"22215","working with older people",NA,0,NA,NA,0.134,5,NA,NA,NA,-1.98581522197666,NA,"Tier III","Tier III"
"22216","hilt 2013  proceedings of the acm conference on high integrity language technology",NA,0,NA,NA,0.134,2,NA,NA,NA,-2.25394617443911,NA,"Tier III","Tier III"
"22217","proceedings of the 2013 8th international conference on design and technology of integrated systems in nanoscale era, dtis 2013",NA,0,NA,NA,0.134,3,NA,NA,NA,-1.85408801636791,NA,"Tier III","Tier III"
"22218","international journal for technology in mathematics education",NA,0,NA,NA,0.134,3,NA,NA,NA,-1.85713187389814,NA,"Tier III","Tier III"
"22219","compute 2013  6th acm india computing convention: next generation computing paradigms and technologies",NA,0,NA,NA,0.134,2,NA,NA,NA,-1.93030423065417,NA,"Tier III","Tier III"
"22220","13th international conference on fracture 2013, icf 2013",NA,0,NA,NA,0.134,4,NA,NA,NA,-2.13055900424787,NA,"Tier III","Tier III"
"22221","open petroleum engineering journal",NA,0,NA,NA,0.134,5,NA,NA,NA,-1.98581522197666,NA,"Tier III","Tier III"
"22222","qosa 2014  proceedings of the 10th international acm sigsoft conference on quality of software architectures (part of comparch 2014)",NA,0,NA,NA,0.134,4,NA,NA,NA,-1.81182474208948,NA,"Tier III","Tier III"
"22223","new york review of books",NA,0,NA,NA,0.134,16,NA,NA,NA,-1.77440418755538,NA,"Tier III","Tier III"
"22224","rfm 2013  2013 ieee international rf and microwave conference, proceedings",NA,0,NA,NA,0.134,5,NA,NA,NA,-1.98581522197666,NA,"Tier III","Tier III"
"22225","revista argentina de radiologia",NA,0,NA,NA,0.134,1,NA,NA,NA,-2.2252154986577,NA,"Tier III","Tier III"
"22226","bulgarian journal of veterinary medicine",NA,0,NA,NA,0.134,5,NA,NA,NA,-1.98581522197666,NA,"Tier III","Tier III"
"22227","splash 2014  companion publication of the 2014 acm sigplan conference on systems, programming, and applications: software for humanity",NA,0,NA,NA,0.134,1,NA,NA,NA,-2.56198088654138,NA,"Tier III","Tier III"
"22228","society of petroleum engineers  spe international conference and exhibition on oilfield corrosion 2014: new challenges for a new era",NA,0,NA,NA,0.134,2,NA,NA,NA,-2.25394617443911,NA,"Tier III","Tier III"
"22229","obstetric medicine",NA,0,NA,NA,0.134,3,NA,NA,NA,-2.18076398222572,NA,"Tier III","Tier III"
"22230","scrutiny2",NA,0,NA,NA,0.134,1,NA,NA,NA,-2.56198088654138,NA,"Tier III","Tier III"
"22231","rail human factors: supporting reliability, safety and cost reduction",NA,0,NA,NA,0.134,3,NA,NA,1,-1.85408801636791,NA,"Tier III","Tier III"
"22232","historical journal of film, radio and television",NA,0,NA,NA,0.134,12,NA,NA,NA,-1.92427550929443,NA,"Tier III","Tier III"
"22233","slavonic and east european review",NA,0,NA,NA,0.134,9,NA,NA,NA,-2.04185261443302,NA,"Tier III","Tier III"
"22234","journal of veterinary clinics",NA,0,NA,NA,0.134,4,NA,NA,NA,-2.13055900424787,NA,"Tier III","Tier III"
"22235","prisma social",NA,0,NA,NA,0.134,2,NA,NA,NA,-2.25394617443911,NA,"Tier III","Tier III"
"22236","spiritus",NA,0,NA,NA,0.134,3,NA,NA,NA,-2.18076398222572,NA,"Tier III","Tier III"
"22237","2013 6th international conference on advanced computational intelligence, icaci 2013  proceedings",NA,0,NA,NA,0.134,5,NA,NA,NA,-1.98581522197666,NA,"Tier III","Tier III"
"22238","fukuoka acta medica",NA,0,NA,NA,0.134,13,NA,NA,NA,-1.50363667488175,NA,"Tier III","Tier III"
"22239","international journal of nanomanufacturing",NA,0,NA,NA,0.134,10,NA,NA,NA,-2.00943910486059,NA,"Tier III","Tier III"
"22240","2014 ieee international conference on mechatronics and automation, ieee icma 2014",NA,0,NA,NA,0.134,6,NA,NA,NA,-1.67264456669883,NA,"Tier III","Tier III"
"22241","2014 oceans  st john's, oceans 2014",NA,0,NA,NA,0.134,6,NA,NA,NA,-2.01074676828492,NA,"Tier III","Tier III"
"22242","latin american business review",NA,0,NA,NA,0.134,10,NA,NA,NA,-2.00943910486059,NA,"Tier III","Tier III"
"22243","proceedings  2013 international conference on emerging trends in communication, control, signal processing and computing applications, ieeec2spca 2013",NA,0,NA,NA,0.134,5,NA,NA,NA,-1.98581522197666,NA,"Tier III","Tier III"
"22244","egyptian journal of ear, nose, throat and allied sciences",NA,0,NA,NA,0.134,3,NA,NA,NA,-1.85408801636791,NA,"Tier III","Tier III"
"22245","medicolegal update",NA,0,NA,NA,0.134,7,NA,NA,NA,-2.14213299869918,NA,"Tier III","Tier III"
"22246","2013 ieee workshop on robot vision, worv 2013",NA,0,NA,NA,0.134,4,NA,NA,NA,-2.13055900424787,NA,"Tier III","Tier III"
"22247","giornale italiano di endodonzia",NA,0,NA,NA,0.134,5,NA,NA,NA,-1.98581522197666,NA,"Tier III","Tier III"
"22248","international conference on advanced technologies for communications",NA,0,NA,NA,0.134,8,NA,NA,NA,-2.02960344122661,NA,"Tier III","Tier III"
"22249","agere! 2013  proceedings of the 2013 acm workshop on programming based on actors, agents, and decentralized control",NA,0,NA,NA,0.134,4,NA,NA,NA,-1.79656110051292,NA,"Tier III","Tier III"
"22250","international symposium on ocean electronics, sympol",NA,0,NA,NA,0.134,3,NA,NA,NA,-2.18076398222572,NA,"Tier III","Tier III"
"22251","group analysis",NA,0,NA,NA,0.134,16,NA,NA,NA,-1.77440418755538,NA,"Tier III","Tier III"
"22252","beijing youdian xueyuan xuebao/journal of beijing university of posts and telecommunications",NA,0,NA,NA,0.134,12,NA,NA,NA,-1.92427550929443,NA,"Tier III","Tier III"
"22253","iccc 2013  ieee 9th international conference on computational cybernetics, proceedings",NA,0,NA,NA,0.134,6,NA,NA,NA,-2.01074676828492,NA,"Tier III","Tier III"
"22254","journal of interdisciplinary mathematics",NA,0,NA,NA,0.134,8,NA,NA,NA,-1.64985045245932,NA,"Tier III","Tier III"
"22255","2014 ieee chinese guidance, navigation and control conference, cgncc 2014",NA,0,NA,NA,0.134,4,NA,NA,NA,-2.13055900424787,NA,"Tier III","Tier III"
"22256","2015 clemson university power systems conference, psc 2015",NA,0,NA,NA,0.134,2,NA,NA,NA,-2.25394617443911,NA,"Tier III","Tier III"
"22257","neuroquantology",NA,0,NA,NA,0.134,14,0.586,3e-04,NA,0.395438485622694,NA,"Tier III","Tier III"
"22258","proceedings of the 2013 6th international conference on biomedical engineering and informatics, bmei 2013",NA,0,NA,NA,0.134,4,NA,NA,NA,-1.74621614787321,NA,"Tier III","Tier III"
"22259","fluminensia",NA,0,NA,NA,0.134,3,NA,NA,NA,-2.18076398222572,NA,"Tier III","Tier III"
"22260","international journal of work organisation and emotion",NA,0,NA,NA,0.133,12,NA,NA,NA,-1.93152893907952,NA,"Tier III","Tier III"
"22261","international conference on emerging trends in engineering and technology, icetet",NA,0,NA,NA,0.133,6,NA,NA,NA,-2.01077057350088,NA,"Tier III","Tier III"
"22262","2014 international conference on cyber and it service management, citsm 2014",NA,0,NA,NA,0.133,2,NA,NA,NA,-2.26606852649078,NA,"Tier III","Tier III"
"22263","proceedings of the 21st international conference on computers in education, icce 2013",NA,0,NA,NA,0.133,5,NA,NA,NA,-1.98407911853029,NA,"Tier III","Tier III"
"22264","proceedings of the indian national science academy",NA,0,NA,NA,0.133,8,NA,NA,NA,-2.01566190213702,NA,"Tier III","Tier III"
"22265","klio",NA,0,NA,NA,0.133,9,NA,NA,NA,-2.01379954416478,NA,"Tier III","Tier III"
"22266","nuovo cimento della societa italiana di fisica c",NA,0,NA,NA,0.133,21,NA,NA,NA,-1.20293246309641,NA,"Tier III","Tier III"
"22267","international conference on recent advances and innovations in engineering, icraie 2014",NA,0,NA,NA,0.133,5,NA,NA,NA,-1.98407911853029,NA,"Tier III","Tier III"
"22268","proceedings of the ieee international conference on electronics, circuits, and systems",NA,0,NA,NA,0.133,27,NA,NA,NA,-1.10832693145172,NA,"Tier III","Tier III"
"22269","neutron news",NA,0,NA,NA,0.133,8,NA,NA,NA,-2.01566190213702,NA,"Tier III","Tier III"
"22270","koers",NA,0,NA,NA,0.133,2,NA,NA,NA,-2.26606852649078,NA,"Tier III","Tier III"
"22271","26th chinese control and decision conference, ccdc 2014",NA,0,NA,NA,0.133,6,NA,NA,NA,-2.01077057350088,NA,"Tier III","Tier III"
"22272","proceedings of the 2013 ieee conference on cybernetics and intelligent systems, cis 2013",NA,0,NA,NA,0.133,2,NA,NA,NA,-2.26606852649078,NA,"Tier III","Tier III"
"22273","korea observer",NA,0,NA,NA,0.133,8,0.176,2e-04,NA,-0.263759655677796,NA,"Tier III","Tier III"
"22274","revista de toxicologia",NA,0,NA,NA,0.133,9,NA,NA,NA,-2.01379954416478,NA,"Tier III","Tier III"
"22275","open toxinology journal",NA,0,NA,NA,0.133,2,NA,NA,NA,-2.26606852649078,NA,"Tier III","Tier III"
"22276","revista de antropologia",NA,0,NA,NA,0.133,5,NA,NA,NA,-1.66763811797932,NA,"Tier III","Tier III"
"22277","revista espanola de antropologia fisica",NA,0,NA,NA,0.133,1,NA,NA,NA,-2.57495361607442,NA,"Tier III","Tier III"
"22278","norchip 2014  32nd norchip conference: the nordic microelectronics event",NA,0,NA,NA,0.133,3,NA,NA,NA,-2.12492013920492,NA,"Tier III","Tier III"
"22279","jewish quarterly review",NA,0,NA,NA,0.133,4,NA,NA,NA,-1.79823422712344,NA,"Tier III","Tier III"
"22280","theoretical and applied mechanics japan",NA,0,NA,NA,0.133,10,NA,NA,NA,-1.6705635076386,NA,"Tier III","Tier III"
"22281","international journal of internet technology and secured transactions",NA,0,NA,NA,0.133,7,NA,NA,NA,-2.14619223227971,NA,"Tier III","Tier III"
"22282","zdravstveni vestnik",NA,0,NA,NA,0.133,7,NA,NA,NA,-1.81860519700637,NA,"Tier III","Tier III"
"22283","proceedings of the 2013 ieee international workshop on genetic and evolutionary fuzzy systems, gefs 2013  2013 ieee symposium series on computational intelligence, ssci 2013",NA,0,NA,NA,0.133,3,NA,NA,NA,-2.12492013920492,NA,"Tier III","Tier III"
"22284","cuadernos de administracion",NA,0,NA,NA,0.133,5,NA,NA,1,-1.98407911853029,NA,"Tier III","Tier III"
"22285","proceedings of the iasted international conference on modelling, identification, and control, mic",NA,0,NA,NA,0.133,8,NA,NA,NA,-1.62643998069547,NA,"Tier III","Tier III"
"22286","chemist",NA,0,NA,NA,0.133,3,NA,NA,NA,-2.12492013920492,NA,"Tier III","Tier III"
"22287","revista espanola de nutricion humana y dietetica",NA,0,NA,NA,0.133,6,NA,NA,NA,-2.01077057350088,NA,"Tier III","Tier III"
"22288","proceedings of the 2013 6th international congress on image and signal processing, cisp 2013",NA,0,NA,NA,0.133,4,NA,NA,NA,-2.1287208414463,NA,"Tier III","Tier III"
"22289","measuring and modeling of multiscale interactions in the marine environment  ieee/oes baltic international symposium 2014, baltic 2014",NA,0,NA,NA,0.133,2,NA,NA,NA,-2.26606852649078,NA,"Tier III","Tier III"
"22290","acm siggraph 2014 posters, siggraph 2014",NA,0,NA,NA,0.133,4,NA,NA,NA,-1.79823422712344,NA,"Tier III","Tier III"
"22291","proceedings of the european conference on knowledge management, eckm",NA,0,NA,NA,0.133,7,NA,NA,NA,-2.14619223227971,NA,"Tier III","Tier III"
"22292","knowledge management",NA,0,NA,NA,0.133,2,NA,NA,NA,-2.26606852649078,NA,"Tier III","Tier III"
"22293","icsse 2013  ieee international conference on system science and engineering, proceedings",NA,0,NA,NA,0.133,5,NA,NA,NA,-1.98407911853029,NA,"Tier III","Tier III"
"22294","film quarterly",NA,0,NA,NA,0.133,16,NA,NA,NA,-1.77272241257893,NA,"Tier III","Tier III"
"22295","acm siggraph 2013 posters, siggraph 2013",NA,0,NA,NA,0.133,3,NA,NA,NA,-2.12492013920492,NA,"Tier III","Tier III"
