"","journal","oldtier","ERS","repec_impact","repec_h","sjr","sh","tr_impact","tr_ef","econ_flag"
"22468","open colorectal cancer journal",NA,0,NA,NA,"0.132","3",NA,NA,NA
"22469","alytes",NA,0,NA,NA,"0.132","14",NA,NA,NA
"22470","proceedings of the 2013 international conference on electromagnetics in advanced applications, iceaa 2013",NA,0,NA,NA,"0.132","7",NA,NA,NA
"22471","china international conference on electricity distribution, ciced",NA,0,NA,NA,"0.132","5",NA,NA,NA
"22472","cleo: applications and technology, cleoat 2015",NA,0,NA,NA,"0.132","3",NA,NA,NA
"22473","proceedings  2014 ieee 8th international symposium on embedded multicore/manycore socs, mcsoc 2014",NA,0,NA,NA,"0.132","3",NA,NA,NA
"22474","international journal of reasoningbased intelligent systems",NA,0,NA,NA,"0.132","7",NA,NA,NA
"22475","revista argentina de cardiologia",NA,0,NA,NA,"0.132","8",NA,NA,NA
"22476","structural integrity and life",NA,0,NA,NA,"0.132","2",NA,NA,NA
"22477","development studies research",NA,0,NA,NA,"0.132","2",NA,NA,NA
"22478","european wind energy conference and exhibition, ewec 2013",NA,0,NA,NA,"0.132","6",NA,NA,NA
"22479","european journal of physical and health education",NA,0,NA,NA,"0.132","4",NA,NA,NA
"22480","revista espanola de linguistica aplicada",NA,0,NA,NA,"0.132","4","0.146","1e-04",NA
"22481","professioni infermieristiche",NA,0,NA,NA,"0.132","6",NA,NA,NA
"22482","law and literature",NA,0,NA,NA,"0.132","5",NA,NA,NA
"22483","international journal of computer science and applications",NA,0,NA,NA,"0.132","10",NA,NA,NA
"22484","yingyong kexue xuebao/journal of applied sciences",NA,0,NA,NA,"0.132","6",NA,NA,NA
"22485","revue d'assyriologie et d'archeologie orientale",NA,0,NA,NA,"0.132","4",NA,NA,NA
"22486","ifip international conference on wireless and optical communications networks, wocn",NA,0,NA,NA,"0.132","5",NA,NA,NA
"22487","ieee/iafe conference on computational intelligence for financial engineering, proceedings (cifer)",NA,0,NA,NA,"0.132","12",NA,NA,"1"
"22488","suxing gongcheng xuebao/journal of plasticity engineering",NA,0,NA,NA,"0.132","10",NA,NA,NA
"22489","siggraph asia 2014 technical briefs, sa 2014",NA,0,NA,NA,"0.132","2",NA,NA,NA
"22490","trashumante",NA,0,NA,NA,"0.132","2",NA,NA,NA
"22491","current issues in pharmacy and medical sciences",NA,0,NA,NA,"0.132","6",NA,NA,NA
"22492","salute e societa",NA,0,NA,NA,"0.132","3",NA,NA,NA
"22493","acta academica",NA,0,NA,NA,"0.132","5",NA,NA,NA
"22494","jezikoslovlje",NA,0,NA,NA,"0.132","3",NA,NA,NA
"22495","open signal processing journal",NA,0,NA,NA,"0.132","1",NA,NA,NA
"22496","arethusa",NA,0,NA,NA,"0.132","15",NA,NA,NA
"22497","ieee international conference on industrial engineering and engineering management",NA,0,NA,NA,"0.132","9",NA,NA,NA
"22498","international symposium on wireless personal multimedia communications, wpmc",NA,0,NA,NA,"0.132","20",NA,NA,NA
"22499","phytotherapie",NA,0,NA,NA,"0.132","9",NA,NA,NA
"22500","hci 2013  27th international british computer society human computer interaction conference: the internet of things",NA,0,NA,NA,"0.132","5",NA,NA,NA
"22501","japanese journal of anesthesiology",NA,0,NA,NA,"0.132","15",NA,NA,NA
"22502","furukawa review",NA,0,NA,NA,"0.132","9",NA,NA,NA
"22503","taf preventive medicine bulletin",NA,0,NA,NA,"0.132","4",NA,NA,NA
"22504","icaart 2011  proceedings of the 3rd international conference on agents and artificial intelligence",NA,0,NA,NA,"0.132","10",NA,NA,NA
"22505","ieee nuclear science symposium conference record",NA,0,NA,NA,"0.131","32",NA,NA,NA
"22506","metal 2014  23rd international conference on metallurgy and materials, conference proceedings",NA,0,NA,NA,"0.131","5",NA,NA,NA
"22507","2014 11th annual high capacity optical networks and emerging/enabling technologies (photonics for energy), honetpfe 2014",NA,0,NA,NA,"0.131","3",NA,NA,NA
"22508","klinichescheskaya laboratornaya diagnostika",NA,0,NA,NA,"0.131","7",NA,NA,NA
"22509","icores 2013  proceedings of the 2nd international conference on operations research and enterprise systems",NA,0,NA,NA,"0.131","3",NA,NA,NA
"22510","psicologia clinica",NA,0,NA,NA,"0.131","5",NA,NA,NA
"22511","icmtce 2013  2013 ieee international conference on microwave technology and computational electromagnetics, proceedings",NA,0,NA,NA,"0.131","3",NA,NA,NA
"22512","international journal of technology",NA,0,NA,NA,"0.131","5",NA,NA,NA
"22513","american communication journal",NA,0,NA,NA,"0.131","9",NA,NA,NA
"22514","proceedings  7th brazilian symposium on software components, architectures and reuse, sbcars 2013  in conjunction with cbsoft 2013  4th brazilian conference on software: theory and practice",NA,0,NA,NA,"0.131","4",NA,NA,NA
"22515","journal of the southeast asian linguistics society",NA,0,NA,NA,"0.131","2",NA,NA,NA
"22516","international journal of design and nature and ecodynamics",NA,0,NA,NA,"0.131","11",NA,NA,NA
"22517","proceedings of the 2013 ieee workshop on memetic computing, mc 2013  2013 ieee symposium series on computational intelligence, ssci 2013",NA,0,NA,NA,"0.131","3",NA,NA,NA
"22518","workinprogress poster  proceedings of the 22nd international conference on computers in education, icce 2014",NA,0,NA,NA,"0.131","1",NA,NA,NA
"22519","advances in knowledge organization",NA,0,NA,NA,"0.131","7",NA,NA,NA
"22520","journal of southeast university (english edition)",NA,0,NA,NA,"0.131","13",NA,NA,NA
"22521","psychiatria et neurologia japonica  seishin shinkeigaku zasshi",NA,0,NA,NA,"0.131","11",NA,NA,NA
"22522","2013 9th international conference on information assurance and security, ias 2013",NA,0,NA,NA,"0.131","3",NA,NA,NA
"22523","proceedings of the 2014 symposium on symbolicnumeric computation, snc 2014",NA,0,NA,NA,"0.131","2",NA,NA,NA
"22524","proceedings  4th ieee international conference on control system, computing and engineering, iccsce 2014",NA,0,NA,NA,"0.131","4",NA,NA,NA
"22525","biomarkers and genomic medicine",NA,0,NA,NA,"0.131","4",NA,NA,NA
"22526","shakespeare quarterly",NA,0,NA,NA,"0.131","17",NA,NA,NA
"22527","2014 ieee 4th international conference on computational advances in bio and medical sciences, iccabs 2014",NA,0,NA,NA,"0.131","2",NA,NA,NA
"22528","2013 international conference on advanced robotics and intelligent systems, aris 2013  conference proceedings",NA,0,NA,NA,"0.131","4",NA,NA,NA
"22529","proceedings  uksim 15th international conference on computer modelling and simulation, uksim 2013",NA,0,NA,NA,"0.131","6",NA,NA,NA
"22530","gastroenterology insights",NA,0,NA,NA,"0.131","3",NA,NA,NA
"22531","cardiovascular therapy and prevention (russian federation)",NA,0,NA,NA,"0.131","6",NA,NA,NA
"22532","proceedings of the international symposium on consumer electronics, isce",NA,0,NA,NA,"0.131","12",NA,NA,NA
"22533","zeitschrift fur antikes christentum",NA,0,NA,NA,"0.131","9",NA,NA,NA
"22534","journal of iberian and latin american research",NA,0,NA,NA,"0.131","5",NA,NA,NA
"22535","sciencecloud 2014  proceedings of the 2014 acm international workshop on scientific cloud computing, colocated with hpdc 2014",NA,0,NA,NA,"0.131","2",NA,NA,NA
"22536","2013 ieee international conference on applied superconductivity and electromagnetic devices, asemd 2013",NA,0,NA,NA,"0.131","3",NA,NA,NA
"22537","archives of clinical microbiology",NA,0,NA,NA,"0.131","5",NA,NA,NA
"22538","mainzer geowissenschaftliche mitteilungen",NA,0,NA,NA,"0.131","10",NA,NA,NA
"22539","operative techniques in otolaryngology  head and neck surgery",NA,0,NA,NA,"0.131","16",NA,NA,NA
"22540","2014 ieee conference on evolving and adaptive intelligent systems, ieee eais 2014  conference proceedings",NA,0,NA,NA,"0.131","4",NA,NA,NA
"22541","ethical human psychology and psychiatry",NA,0,NA,NA,"0.131","11",NA,NA,NA
"22542","surgical and cosmetic dermatology",NA,0,NA,NA,"0.131","7",NA,NA,NA
"22543","international journal of pharmaceutical quality assurance",NA,0,NA,NA,"0.131","2",NA,NA,NA
"22544","acta microbiologica hellenica",NA,0,NA,NA,"0.131","2",NA,NA,NA
"22545","svensk botanisk tidskrift",NA,0,NA,NA,"0.131","12",NA,NA,NA
"22546","international journal of sociotechnology and knowledge development",NA,0,NA,NA,"0.131","8",NA,NA,NA
"22547","new bioethics",NA,0,NA,NA,"0.131","2",NA,NA,NA
"22548","2013 annual international conference on emerging research areas, aicera 2013 and 2013 international conference on microelectronics, communications and renewable energy, icmicr 2013  proceedings",NA,0,NA,NA,"0.131","6",NA,NA,NA
"22549","drug delivery technology",NA,0,NA,NA,"0.131","8",NA,NA,NA
"22550","proceedings  2013 9th international conference on semantics, knowledge and grids, skg 2013",NA,0,NA,NA,"0.131","4",NA,NA,NA
"22551","ebu technical review",NA,0,NA,NA,"0.131","11",NA,NA,NA
"22552","narrative inquiry in bioethics",NA,0,NA,NA,"0.131","4",NA,NA,NA
"22553","proceedings of the 2014 6th international advanced research workshop on in silico oncology and cancer investigation  the chic project workshop, iarwisoci 2014",NA,0,NA,NA,"0.131","1",NA,NA,NA
"22554","2013 ieee energytech, energytech 2013",NA,0,NA,NA,"0.131","2",NA,NA,NA
"22555","2014 ieee international conference on electron devices and solidstate circuits, edssc 2014",NA,0,NA,NA,"0.131","3",NA,NA,NA
"22556","open diabetes journal",NA,0,NA,NA,"0.131","5",NA,NA,NA
"22557","developments in sedimentology",NA,0,NA,NA,"0.131","21",NA,NA,NA
"22558","research journal of botany",NA,0,NA,NA,"0.131","6",NA,NA,NA
"22559","international journal of environmental sustainability",NA,0,NA,NA,"0.131","2",NA,NA,NA
"22560","radiologic technology",NA,0,NA,NA,"0.131","15",NA,NA,NA
"22561","constitutive models for rubber viii  proceedings of the 8th european conference on constitutive models for rubbers, eccmr 2013",NA,0,NA,NA,"0.131","3",NA,NA,NA
"22562","filtration and separation",NA,0,NA,NA,"0.131","22","0.064","0.00011",NA
"22563","jewish culture and history",NA,0,NA,NA,"0.131","1",NA,NA,NA
"22564","proceedings of the 5th acm sigspatial international workshop on indoor spatial awareness, isa 2013",NA,0,NA,NA,"0.131","3",NA,NA,NA
"22565","76th eage conference and exhibition 2014, workshops",NA,0,NA,NA,"0.131","2",NA,NA,NA
"22566","21st international conference in central europe on computer graphics, visualization and computer vision, wscg 2013  poster proceedings",NA,0,NA,NA,"0.131","2",NA,NA,NA
"22567","asian and african studies",NA,0,NA,NA,"0.131","2",NA,NA,NA
"22568","proceedings  2013 ieee latin american robotics symposium, lars 2013",NA,0,NA,NA,"0.131","4",NA,NA,NA
"22569","magyar nyelv",NA,0,NA,NA,"0.131","3",NA,NA,NA
"22570","proceedings of the 2013 ieee symposium on computational intelligence in vehicles and transportation systems, civts 2013  2013 ieee symposium series on computational intelligence, ssci 2013",NA,0,NA,NA,"0.131","2",NA,NA,NA
"22571","lili  zeitschrift fur literaturwissenschaft und linguistik",NA,0,NA,NA,"0.131","3",NA,NA,NA
"22572","proceedings of international conference on computational intelligence, modelling and simulation",NA,0,NA,NA,"0.131","8",NA,NA,NA
"22573","fatigue of materials iii: advances and emergences in understanding  proceedings of the 3rd biennial symposium, held during materials science and technology 2014, ms and t 2014",NA,0,NA,NA,"0.131","1",NA,NA,NA
"22574","conference proceedings  2013 2nd national conference on information assurance, ncia 2013",NA,0,NA,NA,"0.131","4",NA,NA,NA
"22575","sats",NA,0,NA,NA,"0.131","3",NA,NA,NA
"22576","revista de derecho politico",NA,0,NA,NA,"0.131","2",NA,NA,NA
"22577","iwagpr 2013  proceedings of the 2013 7th international workshop on advanced ground penetrating radar",NA,0,NA,NA,"0.131","5",NA,NA,NA
"22578","epitesepiteszettudomany",NA,0,NA,NA,"0.131","3",NA,NA,NA
"22579","chronique d'egypte",NA,0,NA,NA,"0.131","4",NA,NA,NA
"22580","tms annual meeting",NA,0,NA,NA,"0.131","23",NA,NA,NA
"22581","therminic 2014  20th international workshop on thermal investigations of ics and systems, proceedings",NA,0,NA,NA,"0.131","4",NA,NA,NA
"22582","society of petroleum engineers  spe intelligent energy international 2013: realising the full asset value",NA,0,NA,NA,"0.131","5",NA,NA,NA
"22583","journal of world intellectual property",NA,0,NA,NA,"0.131","3",NA,NA,NA
"22584","revista de investigaciones agropecuarias",NA,0,NA,NA,"0.131","1",NA,NA,NA
"22585","nanjing youdian daxue xuebao (ziran kexue ban)/journal of nanjing university ofposts and telecommunications (natural science)",NA,0,NA,NA,"0.131","7",NA,NA,NA
"22586","histoire epistemologie langage",NA,0,NA,NA,"0.131","2",NA,NA,NA
"22587","proceedings  asian conference on membrane computing, acmc 2014",NA,0,NA,NA,"0.131","2",NA,NA,NA
"22588","structural engineer",NA,0,NA,NA,"0.131","24",NA,NA,NA
"22589","9th international workshop on data management on new hardware, damon 2013  in conjunction with the acm sigmod/pods conference",NA,0,NA,NA,"0.131","3",NA,NA,NA
"22590","19th imeko tc4 symposium  measurements of electrical quantities 2013 and 17th international workshop on adc and dac modelling and testing",NA,0,NA,NA,"0.13","6",NA,NA,NA
"22591","huisarts en wetenschap",NA,0,NA,NA,"0.13","22",NA,NA,NA
"22592","proceedings of the 2013 ieee international interconnect technology conference, iitc 2013",NA,0,NA,NA,"0.13","5",NA,NA,NA
"22593","fiziolohichnyi zhurnal",NA,0,NA,NA,"0.13","9",NA,NA,NA
"22594","journal of pharmacy technology",NA,0,NA,NA,"0.13","9",NA,NA,NA
"22595","acta periodica technologica",NA,0,NA,NA,"0.13","10",NA,NA,NA
"22596","corporate board: role, duties and composition",NA,0,NA,NA,"0.13","4",NA,NA,NA
"22597","proceedings of the 2013 kdd cup 2013 workshop",NA,0,NA,NA,"0.13","3",NA,NA,NA
"22598","proceedings of the 5th international conference on confluence 2014: the next generation information technology summit",NA,0,NA,NA,"0.13","5",NA,NA,NA
"22599","brazilian journal of food technology",NA,0,NA,NA,"0.13","2",NA,NA,NA
"22600","matec web of conferences",NA,0,NA,NA,"0.13","8",NA,NA,NA
"22601","csit 2013  9th international conference on computer science and information technologies, revised selected papers",NA,0,NA,NA,"0.13","4",NA,NA,NA
"22602","rivista storica dell'antichita",NA,0,NA,NA,"0.13","2",NA,NA,NA
"22603","komp'juternaja lingvistika i intellektual'nye tehnologii",NA,0,NA,NA,"0.13","4",NA,NA,NA
"22604","revista espanola de cardiologia suplementos",NA,0,NA,NA,"0.13","10",NA,NA,NA
"22605","hipogrifo",NA,0,NA,NA,"0.13","3",NA,NA,NA
"22606","international journal of technological learning, innovation and development",NA,0,NA,NA,"0.13","15",NA,NA,NA
"22607","international conference on applied electronics",NA,0,NA,NA,"0.13","6",NA,NA,NA
"22608","sociological focus",NA,0,NA,NA,"0.13","6",NA,NA,NA
"22609","smith college studies in social work",NA,0,NA,NA,"0.13","16","0.195","8e-05",NA
"22610","iwsda 2013  6th international workshop on signal design and its applications in communications",NA,0,NA,NA,"0.13","3",NA,NA,NA
"22611","revista de teledeteccion",NA,0,NA,NA,"0.13","1",NA,NA,NA
"22612","environnement, risques et sante",NA,0,NA,NA,"0.13","9",NA,NA,NA
"22613","saci 2013  8th ieee international symposium on applied computational intelligence and informatics, proceedings",NA,0,NA,NA,"0.13","6",NA,NA,NA
"22614","journal medical libanais",NA,0,NA,NA,"0.13","14",NA,NA,NA
"22615","data 2013  proceedings of the 2nd international conference on data technologies and applications",NA,0,NA,NA,"0.13","3",NA,NA,NA
"22616","proceedings of the 3rd international conference on computer and knowledge engineering, iccke 2013",NA,0,NA,NA,"0.13","5",NA,NA,NA
"22617","international medical journal malaysia",NA,0,NA,NA,"0.13","4",NA,NA,NA
"22618","ieee international conference on nano/molecular medicine and engineering, nanomed",NA,0,NA,NA,"0.13","3",NA,NA,NA
"22619","journal of stomatology",NA,0,NA,NA,"0.13","4",NA,NA,NA
"22620","proceedings of 2014 11th international bhurban conference on applied sciences and technology, ibcast 2014",NA,0,NA,NA,"0.13","5",NA,NA,NA
"22621","journal of camel practice and research",NA,0,NA,NA,"0.13","15","0.081","1e-04",NA
"22622","rengong jingti xuebao/journal of synthetic crystals",NA,0,NA,NA,"0.13","12",NA,NA,NA
"22623","journal of aesthetics and culture",NA,0,NA,NA,"0.13","3",NA,NA,NA
"22624","journal of biomedical physics and engineering",NA,0,NA,NA,"0.13","4",NA,NA,NA
"22625","annual review of progress in applied computational electromagnetics",NA,0,NA,NA,"0.13","8",NA,NA,NA
"22626","journal of animal and veterinary advances",NA,0,NA,NA,"0.13","19",NA,NA,NA
"22627","aries",NA,0,NA,NA,"0.13","7",NA,NA,NA
"22628","iranian journal of earth sciences",NA,0,NA,NA,"0.13","2",NA,NA,NA
"22629","2014 international workshop on computational intelligence for multimedia understanding, iwcim 2014",NA,0,NA,NA,"0.13","3",NA,NA,NA
"22630","ambulatory surgery",NA,0,NA,NA,"0.13","14",NA,NA,NA
"22631","proceedings of 2013 5th ieee international conference on broadband network and multimedia technology, ieee icbnmt 2013",NA,0,NA,NA,"0.13","5",NA,NA,NA
"22632","critical quarterly",NA,0,NA,NA,"0.13","14",NA,NA,NA
"22633","bangladesh journal of medical science",NA,0,NA,NA,"0.13","5",NA,NA,NA
"22634","conference on design and architectures for signal and image processing, dasip",NA,0,NA,NA,"0.13","8",NA,NA,NA
"22635","2015 international conference on nascent technologies in the engineering field, icnte 2015  proceedings",NA,0,NA,NA,"0.13","3",NA,NA,NA
"22636","nowele",NA,0,NA,NA,"0.13","3",NA,NA,NA
"22637","international journal of soil science",NA,0,NA,NA,"0.13","8",NA,NA,NA
"22638","sustainable development of critical infrastructure  proceedings of the 2014 international conference on sustainable development of critical infrastructure",NA,0,NA,NA,"0.13","1",NA,NA,NA
"22639","proceedings  2014 ieee international conference on computer and information technology, cit 2014",NA,0,NA,NA,"0.13","3",NA,NA,NA
"22640","chinese traditional and herbal drugs",NA,0,NA,NA,"0.13","12",NA,NA,NA
"22641","lecture notes in computational vision and biomechanics",NA,0,NA,NA,"0.13","4",NA,NA,NA
"22642","climatic effects on pavement and geotechnical infrastructure  proceedings of the international symposium of climatic effects on pavement and geotechnical infrastructure 2013",NA,0,NA,NA,"0.13","1",NA,NA,NA
"22643","jornal brasileiro de reproducao assistida",NA,0,NA,NA,"0.13","5",NA,NA,NA
"22644","social work and social sciences review",NA,0,NA,NA,"0.13","8",NA,NA,NA
"22645","revista de filologia espanola",NA,0,NA,NA,"0.13","5",NA,NA,NA
"22646","aisb 2014  50th annual convention of the aisb",NA,0,NA,NA,"0.13","4",NA,NA,NA
"22647","african journal of legal studies",NA,0,NA,NA,"0.13","6",NA,NA,NA
"22648","revista medica del instituto mexicano del seguro social",NA,0,NA,NA,"0.13","10",NA,NA,NA
"22649","2014 2nd world conference on complex systems, wccs 2014",NA,0,NA,NA,"0.13","4",NA,NA,NA
"22650","international journal of probiotics and prebiotics",NA,0,NA,NA,"0.13","10",NA,NA,NA
"22651","2014 ieee international symposium on ethics in science, technology and engineering, ethics 2014",NA,0,NA,NA,"0.13","3",NA,NA,NA
"22652","journal of mathematical and fundamental sciences",NA,0,NA,NA,"0.13","6",NA,NA,NA
"22653","kekkaku",NA,0,NA,NA,"0.13","14",NA,NA,NA
"22654","european pharmaceutical review",NA,0,NA,NA,"0.13","5",NA,NA,NA
"22655","nasn school nurse (print)",NA,0,NA,NA,"0.13","5",NA,NA,NA
"22656","proceedings  2013 international conference on information technology and electrical engineering: ""intelligent and green technologies for sustainable development"", icitee 2013",NA,0,NA,NA,"0.13","5",NA,NA,NA
"22657","international journal of drug development and research",NA,0,NA,NA,"0.13","12",NA,NA,NA
"22658","iecbes 2014, conference proceedings  2014 ieee conference on biomedical engineering and sciences: ""miri, where engineering in medicine and biology and humanity meet""",NA,0,NA,NA,"0.13","4",NA,NA,NA
"22659","ilu revista de ciencias de las religiones",NA,0,NA,NA,"0.13","2",NA,NA,NA
"22660","spectroscopy europe",NA,0,NA,NA,"0.13","19",NA,NA,NA
"22661","proceedings of the annual offshore technology conference",NA,0,NA,NA,"0.13","19",NA,NA,NA
"22662","journal, indian academy of clinical medicine",NA,0,NA,NA,"0.13","10",NA,NA,NA
"22663","library",NA,0,NA,NA,"0.13","10",NA,NA,NA
"22664","proceedings  ieee 7th international symposium on embedded multicore/manycore systemonchip, mcsoc 2013",NA,0,NA,NA,"0.13","4",NA,NA,NA
"22665","romanian journal of political science",NA,0,NA,NA,"0.13","6","0.458","4e-05",NA
"22666","conielecomp 2014  24th international conference on electronics, communications and computers",NA,0,NA,NA,"0.13","3",NA,NA,NA
"22667","springer proceedings in mathematics",NA,0,NA,NA,"0.13","9",NA,NA,NA
"22668","chinese astronomy and astrophysics",NA,0,NA,NA,"0.13","9",NA,NA,NA
"22669","international journal of healthcare technology and management",NA,0,NA,NA,"0.13","14",NA,NA,NA
"22670","african and black diaspora",NA,0,NA,NA,"0.13","4",NA,NA,NA
"22671","vascular disease management",NA,0,NA,NA,"0.13","7",NA,NA,NA
"22672","ieee international symposium on semiconductor manufacturing conference proceedings",NA,0,NA,NA,"0.13","17",NA,NA,NA
"22673","134th audio engineering society convention 2013",NA,0,NA,NA,"0.13","6",NA,NA,NA
"22674","2013 19th asiapacific conference on communications, apcc 2013",NA,0,NA,NA,"0.13","4",NA,NA,NA
"22675","2013 3rd international conference on advancements in nuclear instrumentation, measurement methods and their applications, animma 2013",NA,0,NA,NA,"0.13","3",NA,NA,NA
"22676","sadj : journal of the south african dental association = tydskrif van die suidafrikaanse tandheelkundige vereniging",NA,0,NA,NA,"0.13","15",NA,NA,NA
"22677","international journal of the inclusive museum",NA,0,NA,NA,"0.13","4",NA,NA,NA
"22678","information systems development: transforming organisations and society through information systems  proceedings of the 23rd international conference on information systems development, isd 2014",NA,0,NA,NA,"0.13","3",NA,NA,NA
"22679","research on managing groups and teams",NA,0,NA,NA,"0.13","14",NA,NA,NA
"22680","immigrants and minorities",NA,0,NA,NA,"0.13","12",NA,NA,NA
"22681","international journal of technologies in learning",NA,0,NA,NA,"0.13","2",NA,NA,NA
"22682","experimental methods in the physical sciences",NA,0,NA,NA,"0.13","10",NA,NA,NA
"22683","journal of special education and rehabilitation",NA,0,NA,NA,"0.13","3",NA,NA,NA
"22684","polish sociological review",NA,0,NA,NA,"0.13","7","0.14","0.00011",NA
"22685","2013 10th international conference and expo on emerging technologies for a smarter world, cewit 2013",NA,0,NA,NA,"0.13","4",NA,NA,NA
"22686","new zealand journal of medical laboratory science",NA,0,NA,NA,"0.13","6",NA,NA,NA
"22687","us endocrinology",NA,0,NA,NA,"0.13","5",NA,NA,NA
"22688","nobel medicus",NA,0,NA,NA,"0.13","5",NA,NA,NA
"22689","proceedings  7th international conference on control and automation, ca 2014",NA,0,NA,NA,"0.129","1",NA,NA,NA
"22690","2013 international conference on electrical engineering and software applications, iceesa 2013",NA,0,NA,NA,"0.129","5",NA,NA,NA
"22691","2014 international conference on advances in green energy, icage 2014",NA,0,NA,NA,"0.129","3",NA,NA,NA
"22692","asian biomedicine",NA,0,NA,NA,"0.129","12","0.148","0.00046",NA
"22693","review of politics",NA,0,NA,NA,"0.129","14",NA,NA,NA
"22694","computational plasticity xii: fundamentals and applications  proceedings of the 12th international conference on computational plasticity  fundamentals and applications, complas 2013",NA,0,NA,NA,"0.129","4",NA,NA,NA
"22695","2013 22nd itc specialist seminar on energy efficient and green networking, sseegn 2013",NA,0,NA,NA,"0.129","3",NA,NA,NA
"22696","tierarztliche umschau",NA,0,NA,NA,"0.129","12",NA,NA,NA
"22697","urbe",NA,0,NA,NA,"0.129","1",NA,NA,NA
"22698","airfield and highway pavements 2015: innovative and costeffective pavements for a sustainable future  proceedings of the 2015 international airfield and highway pavements conference",NA,0,NA,NA,"0.129","2",NA,NA,NA
"22699","bulletin of the section of logic",NA,0,NA,NA,"0.129","9",NA,NA,NA
"22700","cahiers de nutrition et de dietetique",NA,0,NA,NA,"0.129","10",NA,NA,NA
"22701","oregon historical quarterly",NA,0,NA,NA,"0.129","6",NA,NA,NA
"22702","victorian literature and culture",NA,0,NA,NA,"0.129","12",NA,NA,NA
"22703","geriatric mental health care",NA,0,NA,NA,"0.129","4",NA,NA,NA
"22704","proceedings of the royal society of queensland",NA,0,NA,NA,"0.129","4",NA,NA,NA
"22705","9th ieee international conference on nano/micro engineered and molecular systems, ieeenems 2014",NA,0,NA,NA,"0.129","3",NA,NA,NA
"22706","athenaeum",NA,0,NA,NA,"0.129","5",NA,NA,NA
"22707","oilfield chemistry",NA,0,NA,NA,"0.129","9",NA,NA,NA
"22708","proceedings of the 5th international workshop on contextoriented programming, cop 2013",NA,0,NA,NA,"0.129","2",NA,NA,NA
"22709","2013 international symposium on wireless and pervasive computing, iswpc 2013",NA,0,NA,NA,"0.129","3",NA,NA,NA
"22710","practising midwife",NA,0,NA,NA,"0.129","10",NA,NA,NA
"22711","mind and society",NA,0,NA,NA,"0.129","12",NA,NA,NA
"22712","ieee techsym 2014  2014 ieee students' technology symposium",NA,0,NA,NA,"0.129","5",NA,NA,NA
"22713","natur und landschaft",NA,0,NA,NA,"0.129","6",NA,NA,NA
"22714","dissent",NA,0,NA,NA,"0.129","13","0.35","0.00069",NA
"22715","scientific journal of kurdistan university of medical sciences",NA,0,NA,NA,"0.129","5",NA,NA,NA
"22716","ieee engineering management review",NA,0,NA,NA,"0.129","13",NA,NA,NA
"22717","erm4hci 2014  proceedings of the 2nd acm international workshop on emotion representations and modelling in humancomputer interaction systems, colocated with icmi 2014",NA,0,NA,NA,"0.129","3",NA,NA,NA
"22718","gulf of mexico science",NA,0,NA,NA,"0.129","18",NA,NA,NA
"22719","journal of direct, data and digital marketing practice",NA,0,NA,NA,"0.129","7",NA,NA,NA
"22720","coluna/ columna",NA,0,NA,NA,"0.129","6",NA,NA,NA
"22721","journal of neurotherapy",NA,0,NA,NA,"0.129","22",NA,NA,NA
"22722","care 2013  2013 ieee international conference on control, automation, robotics and embedded systems, proceedings",NA,0,NA,NA,"0.129","5",NA,NA,NA
"22723","proceedings  2014 ieee 10th international colloquium on signal processing and its applications, cspa 2014",NA,0,NA,NA,"0.129","5",NA,NA,NA
"22724","research in competencebased management",NA,0,NA,NA,"0.129","3",NA,NA,NA
"22725","ship building of china",NA,0,NA,NA,"0.129","3",NA,NA,NA
"22726","africana linguistica",NA,0,NA,NA,"0.129","6","0.077","9e-05",NA
"22727","eesms 2014  2014 ieee workshop on environmental, energy and structural monitoring systems, proceedings",NA,0,NA,NA,"0.129","3",NA,NA,NA
"22728","journal of organizational culture, communications and conflict",NA,0,NA,NA,"0.129","6",NA,NA,NA
"22729","japanese journal of nephrology",NA,0,NA,NA,"0.129","14",NA,NA,NA
"22730","malaysian construction research journal",NA,0,NA,NA,"0.129","4",NA,NA,NA
"22731","theory of probability and mathematical statistics",NA,0,NA,NA,"0.129","6",NA,NA,NA
"22732","current bladder dysfunction reports",NA,0,NA,NA,"0.129","7",NA,NA,NA
"22733","fel 2013: proceedings of the 35th international freeelectron laser conference",NA,0,NA,NA,"0.129","4",NA,NA,NA
"22734","ausimm bulletin",NA,0,NA,NA,"0.129","5",NA,NA,NA
"22735","australasian journal of gifted education",NA,0,NA,NA,"0.129","3",NA,NA,NA
"22736","journal of electronic science and technology",NA,0,NA,NA,"0.129","1",NA,NA,NA
"22737","proceedings  2013 ieee 12th international symposium on parallel and distributed computing, ispdc 2013",NA,0,NA,NA,"0.129","3",NA,NA,NA
"22738","annuaire roumain d'anthropologie",NA,0,NA,NA,"0.129","2",NA,NA,NA
"22739","2014 11th international conference on electrical engineering/electronics, computer, telecommunications and information technology, ecticon 2014",NA,0,NA,NA,"0.129","5",NA,NA,NA
"22740","proceedings  11th international conference on frontiers of information technology, fit 2013",NA,0,NA,NA,"0.129","5",NA,NA,NA
"22741","isap 2013  proceedings of the 2013 international symposium on antennas and propagation",NA,0,NA,NA,"0.129","4",NA,NA,NA
"22742","african studies quarterly",NA,0,NA,NA,"0.129","11",NA,NA,NA
"22743","laeknabladid",NA,0,NA,NA,"0.129","9","0.389","0.00018",NA
